rxn_IDs	rxnNames	K_score	grRules	rxn_formula
PGMT	phosphoglucomutase	0.718749999999983	XNR_5582	D-Glucose 1-phosphate[c] + 0.22801 prot_WP_015508239.1[c] => D-Glucose 6-phosphate[c]
GLYCLTDy	glycolate:NADP+ oxidoreductase	0.685416666666665	XNR_3914	Glycolate[c] + Nicotinamide adenine dinucleotide phosphate[c] + 3.1169 prot_WP_015507766.1[c] => Glyoxylate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c]
ALAD_L_REV	L-alanine dehydrogenase (reversible)	0.65591047991298	XNR_5051	H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + Ammonium[c] + Pyruvate[c] + 0.015675 prot_WP_003947334.1[c] => L-Alanine[c] + H2O[c] + Nicotinamide adenine dinucleotide[c]
PYAM5PO_EXP_1	pyridoxamine 5'-phosphate oxidase	0.65525325930511	XNR_2238	H2O[c] + O2[c] + Pyridoxamine 5'-phosphate[c] + 0.24406 prot_WP_003950108.1[c] => Hydrogen peroxide[c] + Ammonium[c] + Pyridoxal 5'-phosphate[c]
HEMEAS	Heme A synthase	0.302083333333333	XNR_4933	H2O[c] + Heme O[c] + 0.24221 prot_WP_008406087.1[c] => 4 H+[c] + Heme A[c]
ACS2_REV_EXP_1	acetyl-CoA synthase (propionate) (reversible)	0.237500000017968	XNR_0644	AMP[c] + Propanoyl-CoA[c] + Diphosphate[c] + 0.0018004 prot_WP_003951701.1[c] => ATP[c] + Coenzyme A[c] + Propionate (n-C3:0)[c]
PEPCK_REV	phosphoenolpyruvate carboxykinase (GTP) (reversible)	0.237500000000014	XNR_4062	CO2[c] + GDP[c] + Phosphoenolpyruvate[c] + 2.561 prot_WP_003948309.1[c] => GTP[c] + Oxaloacetate[c]
OIVD3_EXP_16	2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate)	0.2375	XNR_4014	(S)-3-Methyl-2-oxopentanoate[c] + Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] + 0.015094 prot_WP_008411127.1[c] => 2-Methylbutanoyl-CoA[c] + CO2[c] + Nicotinamide adenine dinucleotide - reduced[c]
ECOAH1_EXP_2	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	0.151294811990748	XNR_2271	(S)-3-Hydroxybutanoyl-CoA[c] + 0.37671 prot_WP_003950078.1[c] => Crotonoyl-CoA[c] + H2O[c]
HACD1_EXP_1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	0.151294811990748	XNR_0300	Acetoacetyl-CoA[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + 0.00047371 prot_WP_003952055.1[c] => (S)-3-Hydroxybutanoyl-CoA[c] + Nicotinamide adenine dinucleotide[c]
ACACT1r_EXP_3	acetyl-CoA C-acetyltransferase	0.151294811990748	XNR_1438	2 Acetyl-CoA[c] + 0.28245 prot_WP_003950907.1[c] => Acetoacetyl-CoA[c] + Coenzyme A[c]
ACOAD1f_EXP_2	acyl-CoA dehydrogenase (butanoyl-CoA)	0.151294811990748	XNR_4214	Crotonoyl-CoA[c] + Flavin adenine dinucleotide reduced[c] + 0.32462 prot_WP_003948164.1[c] => Butanoyl-CoA[c] + Flavin adenine dinucleotide oxidized[c]
IBTMr_REV_EXP_3	isobutyryl-CoA mutase (irreversible) (reversible)	0.150302021638627	XNR_1417	Butanoyl-CoA[c] + 0.45486 prot_WP_003950928.1[c] => Isobutyryl-CoA[c]
PYRS_EXP_1	pyruvate:ferredoxin oxidoreductase;pyruvate ferredoxin oxidoreductase;pyruvate-ferredoxin oxidoreductase;pyruvate synthase	0.142732325328107	XNR_3672	Coenzyme A[c] + 2 Oxidized ferredoxin[c] + Pyruvate[c] + 0.21103 prot_WP_003948695.1[c] => Acetyl-CoA[c] + CO2[c] + 2 Reduced ferredoxin[c] + H+[c]
ACOAD9_EXP_2	acyl-CoA dehydrogenase (Isobutiryl-CoA)	0.139353929779679	XNR_1951	Flavin adenine dinucleotide oxidized[c] + Isobutyryl-CoA[c] + 0.25224 prot_WP_003950402.1[c] => 2-Methylprop-2-enoyl-CoA[c] + Flavin adenine dinucleotide reduced[c]
ECOAH12_EXP_2	3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA)	0.139353929779679	XNR_2271	2-Methylprop-2-enoyl-CoA[c] + H2O[c] + 0.37671 prot_WP_003950078.1[c] => (S)-3-Hydroxyisobutyryl-CoA[c]
HIBH_EXP_2	(S)-3-Hydroxyisobutyryl-CoA hydrolase	0.139353929779679	XNR_0335	(S)-3-Hydroxyisobutyryl-CoA[c] + H2O[c] + 0.54123 prot_WP_003952017.1[c] => (S)-3-Hydroxyisobutyrate[c] + Coenzyme A[c]
HMNO_EXP_1	3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase	0.139353929779679	XNR_0151	(S)-3-Hydroxyisobutyrate[c] + Nicotinamide adenine dinucleotide[c] + 0.10164 prot_WP_015506713.1[c] => H+[c] + (S)-Methylmalonate semialdehyde[c] + Nicotinamide adenine dinucleotide - reduced[c]
OIVD1r_EXP_16	2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate)	0.137387677194848	XNR_4014	4-Methyl-2-oxopentanoate[c] + Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] + 0.015094 prot_WP_008411127.1[c] => CO2[c] + Isovaleryl-CoA[c] + Nicotinamide adenine dinucleotide - reduced[c]
PPAKr	Propionate kinase	0.133210043729057	XNR_1409	ADP[c] + Propanoyl phosphate[c] + 0.0035839 prot_WP_003950937.1[c] => ATP[c] + Propionate (n-C3:0)[c]
ACODA_EXP_2	N-acetylornithinase;acetylornithine deacetylase	0.111726250152054	XNR_5151	N2-Acetyl-L-ornithine[c] + H2O[c] + 0.41616 prot_WP_003947235.1[c] => Acetate[c] + Ornithine[c]
FNOR	putative ferredoxin/ferredoxin-NADP reductase	-Inf	XNR_2490	2 Oxidized ferredoxin[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.73121 prot_WP_015507395.1[c] => 2 Reduced ferredoxin[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate[c]
NTD5e	5'-nucleotidase (dTMP)	-Inf	XNR_3310	dTMP[e] + H2O[e] + 0.023287 prot_WP_003949063.1[c] => Phosphate[e] + Thymidine[e]
PPM2	phosphopentomutase 2 (deoxyribose)	-Inf	XNR_5582	2-Deoxy-D-ribose 1-phosphate[c] + 0.22801 prot_WP_015508239.1[c] => 2-Deoxy-D-ribose 5-phosphate[c]
TKT2h	beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	-Inf	XNR_4929	beta-D-Fructose 6-phosphate[c] + Glyceraldehyde 3-phosphate[c] + 0.17035 prot_WP_003947452.1[c] => D-Erythrose 4-phosphate[c] + D-Xylulose 5-phosphate[c]
